9820.102495268919 --- ('artykuł', 'brev') ('koło', 'brev')
1318.1528752073646 --- ('dzień', 'subst') ('maj', 'subst')
1308.305470929481 --- ('wynikać', 'pact') ('z', 'prep')
1292.9291016217321 --- ('ustęp', 'brev') ('ustawa', 'subst')
1277.678892574273 --- ('dzień', 'subst') ('listopad', 'subst')
1276.856094182469 --- ('ustalenie', 'subst') ('faktyczny', 'adj')
1265.9245011396706 --- ('radca', 'subst') ('prawny', 'adj')
1263.2155049070716 --- ('prawo', 'subst') ('autorski', 'adj')
1256.2033229786903 --- ('związany', 'adj') ('z', 'prep')
1246.7194481473416 --- ('s', 'brev') ('a', 'brev')
1244.5284875370562 --- ('czerwiec', 'subst') ('rok', 'brev')
1235.5654520923272 --- ('marzec', 'subst') ('rok', 'brev')
1223.8168228100985 --- ('w', 'prep') ('w', 'prep')
1198.856503399089 --- ('doświadczenie', 'subst') ('życiowy', 'adj')
1195.7358041806147 --- ('kwiecień', 'subst') ('rok', 'brev')
1184.3543105553836 --- ('zastępstwo', 'subst') ('procesowy', 'adj')
1183.0157893681899 --- ('z', 'prep') ('ojciec', 'brev')
1182.7395918816328 --- ('dzień', 'subst') ('październik', 'subst')
1171.0448358301073 --- ('organ', 'subst') ('rentowy', 'adj')
1157.0013731922954 --- ('skarga', 'subst') ('kasacyjny', 'adj')
1156.3949635056779 --- ('dzień', 'subst') ('lipiec', 'subst')
1136.6517635192722 --- ('polegać', 'pact') ('na', 'prep')
1136.269954440184 --- ('opinia', 'subst') ('biegły', 'subst')
1135.2444107513875 --- ('w', 'prep') ('zakres', 'subst')
1124.1758125312626 --- ('pozbawić', 'ger') ('wolność', 'subst')
1110.336832148023 --- ('zwrot', 'subst') ('koszt', 'subst')
1082.6240493720397 --- ('dzień', 'subst') ('sierpień', 'subst')
1081.9884353820235 --- ('oparcie', 'subst') ('o', 'prep')
1073.5036837523803 --- ('koło', 'brev') ('koło', 'brev')
1054.8351396257058 --- ('koszt', 'subst') ('zastępstwo', 'subst')
1054.595516060479 --- ('ustawa', 'subst') ('o', 'prep')
1050.927672414109 --- ('pismo', 'subst') ('z', 'prep')
1048.0544153777882 --- ('co', 'subst') ('następować', 'fin')
1029.235722610727 --- ('ocena', 'subst') ('sąd', 'subst')
1012.9672351861373 --- ('uwaga', 'subst') ('na', 'prep')
996.5621012449265 --- ('po', 'prep') ('rozpoznać', 'ger')
987.5529411947355 --- ('rada', 'subst') ('nadzorczy', 'adj')
978.2746977573261 --- ('zamówienie', 'subst') ('publiczny', 'adj')
972.9160320591182 --- ('z', 'prep') ('w', 'prep')
964.675157956779 --- ('maj', 'subst') ('rok', 'brev')
962.0800235038623 --- ('w', 'prep') ('ten', 'adj')
954.4287594649941 --- ('w', 'prep') ('całość', 'subst')
949.5460793273523 --- ('na', 'prep') ('rozprawa', 'subst')
942.1929842140526 --- ('pod', 'prep') ('uwaga', 'subst')
939.1242416277528 --- ('m', 'brev') ('s', 'brev')
932.2986335521564 --- ('w', 'prep') ('z', 'prep')
927.8624693704769 --- ('wpływ', 'subst') ('na', 'prep')
925.120537164621 --- ('księga', 'subst') ('wieczysty', 'adj')
913.9032615954056 --- ('zważyć', 'praet') ('co', 'subst')
912.457332951948 --- ('zakład', 'subst') ('ubezpieczenie', 'subst')
899.463138660416 --- ('korzystać', 'ger') ('z', 'prep')
870.841558502987 --- ('w', 'prep') ('postać', 'subst')
870.0929111400619 --- ('sierpień', 'subst') ('rok', 'brev')
854.2310352716595 --- ('pierwszy', 'adj') ('instancja', 'subst')
853.7432744074613 --- ('w', 'prep') ('tok', 'subst')
849.9710026318207 --- ('przez', 'prep') ('powód', 'subst')
848.7554745916277 --- ('okres', 'subst') ('od', 'prep')
843.7612766465172 --- ('strona', 'subst') ('powodowy', 'adj')
835.1882795700803 --- ('od', 'prep') ('dzień', 'subst')
827.5953937359154 --- ('wniosek', 'subst') ('o', 'prep')
822.9904759004712 --- ('autorski', 'adj') ('prawo', 'subst')
822.6915086694062 --- ('co', 'prep') ('mało', 'adv')
817.9346358878538 --- ('opinia', 'subst') ('biegły', 'adj')
814.2469050874934 --- ('odpowiedź', 'subst') ('na', 'prep')
812.5459363907576 --- ('wrzesień', 'subst') ('rok', 'brev')
812.1933681741357 --- ('ustawowy', 'adj') ('odsetek', 'subst')
811.162507831119 --- ('prawo', 'subst') ('materialny', 'adj')
808.8366793058813 --- ('dzień', 'subst') ('luty', 'subst')
796.0867374977097 --- ('ponowny', 'adj') ('rozpoznanie', 'subst')
785.5451117930934 --- ('kara', 'subst') ('łączny', 'adj')
781.1165505722165 --- ('zawrzeć', 'ger') ('umowa', 'subst')
780.1862530559301 --- ('świadczyć', 'ger') ('usługa', 'subst')
777.7137244073674 --- ('przy', 'prep') ('ulica', 'brev')
772.042966613546 --- ('w', 'prep') ('przypadek', 'subst')
764.5179842533544 --- ('skład', 'subst') ('przewodniczący', 'subst')
760.5052372282371 --- ('koszt', 'subst') ('postępowanie', 'subst')
757.682815188542 --- ('który', 'adj') ('mowa', 'subst')
756.6290730880573 --- ('listopad', 'subst') ('rok', 'brev')
750.431468969211 --- ('szczególny', 'adj') ('warunki', 'subst')
749.2616182733327 --- ('określić', 'ppas') ('w', 'prep')
746.5215916549787 --- ('ogłosić', 'ger') ('upadłość', 'subst')
745.3866957128048 --- ('masa', 'subst') ('upadłość', 'subst')
742.9811745872721 --- ('zarzut', 'subst') ('naruszyć', 'ger')
738.9432922201231 --- ('minister', 'subst') ('sprawiedliwość', 'subst')
723.9149574013427 --- ('warunki', 'subst') ('szczególny', 'adj')
722.1623912258074 --- ('zawrzeć', 'ppas') ('w', 'prep')
714.8193739540875 --- ('dojść', 'praet') ('do', 'prep')
711.6772616887465 --- ('ten', 'adj') ('sam', 'adj')
709.0222814837471 --- ('w', 'prep') ('niniejszy', 'adj')
707.8791369497776 --- ('norma', 'subst') ('przepisać', 'ppas')
702.3596282452345 --- ('prezes', 'subst') ('uokik', 'subst')
701.9434035746381 --- ('z', 'prep') ('tytuł', 'subst')
693.9860990131274 --- ('w', 'prep') ('oparcie', 'subst')
686.6946553252637 --- ('z', 'prep') ('siedziba', 'subst')
685.5822330750525 --- ('przez', 'prep') ('sąd', 'subst')
684.3112621726468 --- ('spółka', 'subst') ('akcyjny', 'adj')
683.7210819041356 --- ('w', 'prep') ('skład', 'subst')
683.6334300646558 --- ('lokal', 'subst') ('mieszkalny', 'adj')
679.8806120399386 --- ('oddalić', 'ger') ('powództwo', 'subst')
678.6176005499437 --- ('luty', 'subst') ('rok', 'brev')
675.6955073075369 --- ('w', 'prep') ('ramy', 'subst')
675.5496361013502 --- ('luty', 'adj') ('rok', 'subst')
675.2449271129444 --- ('w', 'prep') ('ocena', 'subst')
669.6408403692767 --- ('wskazać', 'inf') ('należeć', 'fin')
663.9814276788384 --- ('w', 'prep') ('szczecin', 'subst')
662.5843787007034 --- ('styczeń', 'subst') ('rok', 'subst')
659.8987738406286 --- ('podstawa', 'subst') ('do', 'prep')
658.5086782695726 --- ('nakaz', 'subst') ('zapłata', 'subst')
657.8876054631546 --- ('rozporządzenie', 'subst') ('minister', 'subst')
656.4025680636987 --- ('ochrona', 'subst') ('konkurencja', 'subst')
654.8594908704981 --- ('tytuł', 'subst') ('zwrot', 'subst')
652.3405710626394 --- ('na', 'prep') ('w', 'prep')
651.4366560317576 --- ('z', 'prep') ('uwaga', 'subst')
651.0413053054363 --- ('warunkowy', 'adj') ('zawiesić', 'ger')
642.5725309019908 --- ('przepis', 'subst') ('prawo', 'subst')
640.6461652861908 --- ('przez', 'prep') ('pozwany', 'subst')
640.640734160319 --- ('artykuł', 'brev') ('usta', 'subst')
632.9461149629205 --- ('konkurencja', 'subst') ('konsument', 'subst')
632.3980598030612 --- ('zasiłek', 'subst') ('macierzyński', 'adj')
630.9969469280913 --- ('artykuł', 'brev') ('ustawa', 'subst')
629.0617541102692 --- ('druk', 'subst') ('adresować', 'ppas')
624.4692204007879 --- ('zasądzać', 'fin') ('od', 'prep')
623.5220076683909 --- ('o', 'prep') ('praca', 'subst')
621.7338247839361 --- ('związać', 'ger') ('oferta', 'subst')
618.6289203092456 --- ('tok', 'subst') ('postępowanie', 'subst')
618.2299349941313 --- ('z', 'prep') ('z', 'prep')
616.6838296744972 --- ('siedziba', 'subst') ('w', 'prep')
607.4552395483479 --- ('grudzień', 'subst') ('rok', 'subst')
607.3977299733087 --- ('odniesienie', 'subst') ('do', 'prep')
605.3872485291213 --- ('w', 'prep') ('na', 'prep')
603.4702896084636 --- ('przy', 'prep') ('co', 'subst')
596.6812887890264 --- ('rejonowy', 'adj') ('w', 'prep')
595.5785587755963 --- ('okręgowy', 'adj') ('w', 'prep')
595.360517478548 --- ('w', 'prep') ('rozumienie', 'subst')
594.6508204592392 --- ('udział', 'subst') ('w', 'prep')
590.0537770455703 --- ('termin', 'subst') ('związać', 'ger')
587.2885695062578 --- ('porównaj', 'brev') ('wyrok', 'subst')
586.4620237145573 --- ('pełny', 'adj') ('wymiar', 'subst')
581.3778275353834 --- ('w', 'prep') ('światło', 'subst')
581.361723636277 --- ('ten', 'adj') ('zakres', 'subst')
580.0378891611472 --- ('wysoki', 'adj') ('z', 'prep')
575.6288310065866 --- ('sprzedaż', 'subst') ('pakiet', 'subst')
572.6358909448609 --- ('punkt', 'brev') ('ustawa', 'subst')
572.5846592579037 --- ('kosztorys', 'subst') ('ofertowy', 'adj')
565.7719279443845 --- ('córka', 'brev') ('poprzez', 'prep')
564.1351106017828 --- ('punkt', 'subst') ('widzenie', 'subst')
563.5831680884585 --- ('na', 'prep') ('skutek', 'subst')
558.8866898110136 --- ('uzasadnić', 'ger') ('zaskarżyć', 'ppas')
557.3945639245212 --- ('oferta', 'subst') ('odwoływać', 'pact')
556.9200044861063 --- ('w', 'prep') ('sposób', 'subst')
551.4864957332611 --- ('opłata', 'subst') ('za', 'prep')
550.508507729508 --- ('a', 'brev') ('k', 'brev')
549.0789517471567 --- ('mieć', 'pcon') ('na', 'prep')
544.0326222693548 --- ('prawo', 'subst') ('do', 'prep')
542.8764739073813 --- ('z', 'prep') ('urząd', 'subst')
542.8097616685554 --- ('oświadczenie', 'subst') ('wola', 'subst')
541.6726650260389 --- ('koszt', 'subst') ('sądowy', 'adj')
539.7165185892954 --- ('odstąpić', 'ger') ('od', 'prep')
539.4347215872258 --- ('ustawa', 'subst') ('z', 'prep')
537.2681460613385 --- ('zasądzić', 'ger') ('od', 'prep')
524.6521932650357 --- ('to', 'subst') ('sam', 'adj')
524.3825735021383 --- ('artykuł', 'brev') ('pkt', 'subst')
523.8358691548929 --- ('brać', 'pcon') ('pod', 'prep')
519.4697909671813 --- ('stosunek', 'subst') ('do', 'prep')
518.5947833992541 --- ('usługa', 'subst') ('pocztowy', 'adj')
516.3571058185771 --- ('rynek', 'subst') ('właściwy', 'adj')
515.3149192268029 --- ('umowa', 'subst') ('agencyjny', 'adj')
514.0640385886654 --- ('w', 'prep') ('do', 'prep')
510.962939215824 --- ('w', 'prep') ('okres', 'subst')
510.8597800685093 --- ('produkt', 'subst') ('ubezpieczeniowy', 'adj')
508.99107770062983 --- ('rok', 'brev') ('sygnatura', 'brev')
508.4545282786712 --- ('zdanie', 'subst') ('sąd', 'subst')
506.66595718916506 --- ('w', 'prep') ('w', 'brev')
505.61772459652275 --- ('podmiot', 'subst') ('trzeci', 'adj')
505.4339933162555 --- ('polski', 'adj') ('dzień', 'subst')
505.0807002093643 --- ('członek', 'subst') ('zarząd', 'subst')
502.4779446059838 --- ('naruszenie', 'subst') ('artykuł', 'brev')
502.20587876439095 --- ('ograniczony', 'adj') ('odpowiedzialność', 'subst')
496.4819814879447 --- ('sprzeczny', 'adj') ('z', 'prep')
493.74292366206646 --- ('izba', 'subst') ('lekarski', 'adj')
493.070051074028 --- ('naprawić', 'ger') ('szkoda', 'subst')
492.8024987326935 --- ('znaczenie', 'subst') ('dla', 'prep')
492.4220792297274 --- ('informacja', 'subst') ('o', 'prep')
492.08443827554584 --- ('emerytalny', 'adj') ('rentowy', 'adj')
490.96118662692606 --- ('naruszyć', 'ger') ('przepis', 'subst')
490.23841895349324 --- ('do', 'prep') ('w', 'prep')
487.97865183930844 --- ('zwolnienie', 'subst') ('lekarski', 'adj')
487.5795625625178 --- ('wrzesień', 'subst') ('rok', 'subst')
486.1872411519289 --- ('walny', 'adj') ('zgromadzenie', 'subst')
483.91809639614075 --- ('imię', 'subst') ('rzeczpospolita', 'subst')
482.1168820615858 --- ('faktura', 'subst') ('vat', 'subst')
481.2872862126678 --- ('wzgląd', 'subst') ('na', 'prep')
479.59400885365903 --- ('postępowanie', 'subst') ('likwidacyjny', 'adj')
479.4711241805926 --- ('pr', 'brev') ('auto', 'subst')
478.64188659004867 --- ('wynikać', 'fin') ('z', 'prep')
472.5789428660646 --- ('powinien', 'winien') ('być', 'inf')
471.71639538463205 --- ('w', 'prep') ('konsekwencja', 'subst')
468.1920943064615 --- ('według', 'prep') ('norma', 'subst')
467.3625097554177 --- ('służba', 'subst') ('więzienny', 'adj')
464.87199269607663 --- ('pierwszy', 'adj') ('kolejność', 'subst')
461.9930925555527 --- ('rozumienie', 'subst') ('artykuł', 'brev')
461.73758218437433 --- ('rażąco', 'adv') ('niski', 'adj')
461.2177934255451 --- ('pozycja', 'subst') ('dominować', 'pact')
458.76173496153206 --- ('zasądzić', 'praet') ('od', 'prep')
458.0982726160437 --- ('płatnik', 'subst') ('składka', 'subst')
451.6781922634691 --- ('złoty', 'subst') ('tytuł', 'subst')
450.09526338707656 --- ('maj', 'subst') ('rok', 'subst')
450.02708904165775 --- ('sąd', 'subst') ('pierwszy', 'adj')
448.80445564351976 --- ('sąd', 'subst') ('uznać', 'praet')
446.9626426193863 --- ('t', 'brev') ('j', 'brev')
446.45974137447774 --- ('swobodny', 'adj') ('ocena', 'subst')
445.52719249762595 --- ('prowadzić', 'ger') ('działalność', 'subst')
443.40732730086893 --- ('akt', 'subst') ('ii', 'adj')
441.7656545974314 --- ('prawny', 'adj') ('udzielić', 'ppas')
440.5087800277397 --- ('pomoc', 'subst') ('prawny', 'adj')
439.96199193876237 --- ('część', 'subst') ('zamienny', 'adj')
439.4319402622059 --- ('mowa', 'subst') ('w', 'prep')
439.0189501531422 --- ('ocena', 'subst') ('dowód', 'subst')
436.36221971642226 --- ('przy', 'prep') ('to', 'subst')
433.5106534268707 --- ('postępowanie', 'subst') ('odwoławczy', 'adj')
433.2584905670956 --- ('rozwiązać', 'ger') ('umowa', 'subst')
433.01197962928563 --- ('a', 'brev') ('m', 'brev')
431.88263101968914 --- ('ustęp', 'brev') ('pzp', 'brev')
430.8338358718902 --- ('upływ', 'subst') ('termin', 'subst')
430.2763578062877 --- ('odpowiedzialność', 'subst') ('cywilny', 'adj')
428.0716777564958 --- ('godzina', 'subst') ('nadliczbowy', 'adj')
425.8553264895454 --- ('dla', 'prep') ('rozstrzygnąć', 'ger')
423.31520611513406 --- ('etyka', 'subst') ('lekarski', 'adj')
422.99549135472625 --- ('mieć', 'fin') ('charakter', 'subst')
422.7786446874961 --- ('ubezpieczenie', 'subst') ('chorobowy', 'adj')
422.34551801905036 --- ('uznać', 'ppas') ('za', 'prep')
421.9433774650097 --- ('prezes', 'subst') ('urząd', 'subst')
421.79098578915 --- ('postępowanie', 'subst') ('apelacyjny', 'adj')
420.682700868696 --- ('w', 'prep') ('odniesienie', 'subst')
420.6405675467104 --- ('wymiar', 'subst') ('czas', 'subst')
419.9504029126838 --- ('krajowy', 'adj') ('izba', 'subst')
417.16227663774043 --- ('pojazd', 'subst') ('mechaniczny', 'adj')
415.02930801641196 --- ('sn', 'subst') ('z', 'prep')
414.1630507260561 --- ('potencjał', 'subst') ('techniczny', 'adj')
413.65443933196366 --- ('na', 'prep') ('uwaga', 'subst')
412.6045736698434 --- ('wypowiedzieć', 'ger') ('umowa', 'subst')
412.2973025161773 --- ('kodeks', 'subst') ('cywilny', 'adj')
412.1070205066353 --- ('oprzeć', 'ger') ('o', 'prep')
409.2134045828134 --- ('o', 'prep') ('zapłata', 'subst')
408.3773865606636 --- ('strona', 'subst') ('pozwać', 'ppas')
406.77630535699427 --- ('przedawnić', 'ger') ('roszczenie', 'subst')
404.1581674348563 --- ('kwiecień', 'subst') ('rok', 'subst')
401.3561005629599 --- ('złoty', 'brev') ('tytuł', 'subst')
400.1496272822842 --- ('wynagrodzenie', 'subst') ('za', 'prep')
395.0031537078321 --- ('pan', 'brev') ('koło', 'brev')
394.9791574785486 --- ('o', 'prep') ('oddalić', 'ger')
393.82404306717217 --- ('wiek', 'brev') ('homoseksualista', 'brev')
392.26043323613703 --- ('o', 'prep') ('koszt', 'subst')
392.19588982127607 --- ('przedmiot', 'subst') ('zamówienie', 'subst')
391.26196023169905 --- ('dostęp', 'subst') ('telekomunikacyjny', 'adj')
390.80278530623764 --- ('okoliczność', 'subst') ('bezsporny', 'adj')
389.88442946318537 --- ('ruch', 'subst') ('drogowy', 'adj')
389.8299440778792 --- ('wypadek', 'subst') ('przy', 'prep')
388.511778941378 --- ('oskarżyciel', 'subst') ('posiłkowy', 'adj')
388.4200691925362 --- ('koło', 'brev') ('tom', 'brev')
387.11882842425257 --- ('okres', 'subst') ('zatrudnienie', 'subst')
385.99353499896824 --- ('okres', 'subst') ('wypowiedzenie', 'subst')
385.4852438326925 --- ('akt', 'subst') ('iii', 'adj')
384.63874554727226 --- ('k', 'brev') ('s', 'brev')
384.38513635471463 --- ('i', 'adj') ('c', 'subst')
381.71916662622243 --- ('zwać', 'ppas') ('daleko', 'adv')
381.3978332178667 --- ('kredyt', 'subst') ('konsumencki', 'adj')
380.6595350727439 --- ('koło', 'brev') ('akt', 'subst')
379.86997525952756 --- ('kodeks', 'subst') ('etyka', 'subst')
377.225144200027 --- ('ulegać', 'fin') ('wątpliwość', 'subst')
377.0729146050289 --- ('sierpień', 'subst') ('rok', 'subst')
376.0651160553098 --- ('bieg', 'subst') ('przedawnienie', 'subst')
376.04080240335315 --- ('osoba', 'subst') ('trzeci', 'adj')
374.4392831567675 --- ('w', 'prep') ('odpowiedź', 'subst')
374.3763283453882 --- ('litera', 'brev') ('b', 'subst')
373.0977906109765 --- ('ustawa', 'brev') ('z', 'prep')
372.8774714572355 --- ('prowadzić', 'ppas') ('przez', 'prep')
372.245659169741 --- ('uznać', 'praet') ('za', 'prep')
369.80255940183997 --- ('z', 'prep') ('na', 'prep')
367.45242919772863 --- ('zamiar', 'subst') ('bezpośredni', 'adj')
365.9406062941998 --- ('przedmiotowy', 'adj') ('sprawa', 'subst')
365.91881572827697 --- ('cena', 'subst') ('jednostkowy', 'adj')
363.8068915614858 --- ('doprowadzić', 'praet') ('do', 'prep')
363.68409374170005 --- ('j', 'brev') ('c', 'brev')
363.1463536871597 --- ('system', 'subst') ('ubezpieczenie', 'subst')
361.89285296946764 --- ('przez', 'prep') ('on', 'ppron3')
360.5116312671453 --- ('przez', 'prep') ('pozwana', 'subst')
359.2295974465087 --- ('do', 'prep') ('ponowny', 'adj')
358.7218318535015 --- ('przedmiar', 'subst') ('inwestorski', 'adj')
356.50495680607855 --- ('stawka', 'subst') ('dzienny', 'adj')
355.4629633529112 --- ('ustawa', 'brev') ('numer', 'brev')
353.57382874097675 --- ('rok', 'brev') ('ii', 'adj')
353.414597466588 --- ('l', 'brev') ('c', 'brev')
352.902675841935 --- ('państwo', 'subst') ('koszt', 'subst')
351.32618271466345 --- ('izba', 'subst') ('odwoławczy', 'adj')
350.74219566304237 --- ('rada', 'subst') ('minister', 'subst')
349.91065550222993 --- ('złoty', 'brev') ('netto', 'subst')
349.72450921311975 --- ('od', 'prep') ('pozwany', 'subst')
349.3435515742749 --- ('czerwiec', 'subst') ('rok', 'subst')
348.9935516593978 --- ('przewodniczący', 'subst') ('ssr', 'subst')
347.91426419094205 --- ('k', 'brev') ('k', 'brev')
347.6334552606568 --- ('komórka', 'subst') ('organizacyjny', 'adj')
347.3101775525138 --- ('jeden', 'adj') ('z', 'prep')
346.7511194171384 --- ('na', 'prep') ('z', 'prep')
346.41598258912563 --- ('istotny', 'adj') ('znaczenie', 'subst')
344.42121693398803 --- ('dobro', 'subst') ('osobisty', 'adj')
343.3566705668345 --- ('miesiąc', 'subst') ('pozbawienie', 'subst')
340.92946839518845 --- ('marzec', 'subst') ('rok', 'subst')
340.21232853550464 --- ('niezgodny', 'adj') ('z', 'prep')
339.2338056201115 --- ('odrzucić', 'ger') ('oferta', 'subst')
338.559298183769 --- ('interes', 'subst') ('prawny', 'adj')
338.3996154638007 --- ('kwota', 'subst') ('złoty', 'subst')
338.0622861478478 --- ('wada', 'subst') ('usterka', 'subst')
337.93367504514754 --- ('w', 'prep') ('imię', 'subst')
337.37140712328255 --- ('naruszyć', 'ger') ('artykuł', 'brev')
336.6825947621837 --- ('dowód', 'subst') ('z', 'prep')
335.41089623142034 --- ('o', 'prep') ('w', 'prep')
335.21901897806674 --- ('biegły', 'adj') ('sądowy', 'adj')
334.8787749214098 --- ('wyjaśnienie', 'subst') ('oskarżony', 'subst')
334.39125020056963 --- ('taki', 'adj') ('sytuacja', 'subst')
333.821086935699 --- ('umowa', 'subst') ('pożyczka', 'subst')
333.7055852683261 --- ('w', 'prep') ('sąd', 'subst')
333.60644971299917 --- ('stosunek', 'subst') ('służbowy', 'adj')
333.18600657209754 --- ('ckn', 'subst') ('lex', 'subst')
331.85951155703515 --- ('w', 'prep') ('punkt', 'subst')
331.8461707988754 --- ('między', 'prep') ('inny', 'adj')
330.7743457853794 --- ('mieć', 'praet') ('miejsce', 'subst')
330.3530868673697 --- ('na', 'prep') ('rynek', 'subst')
330.35045722220093 --- ('obowiązkowo', 'adv') ('ubezpieczenie', 'subst')
329.71760791074485 --- ('naprawa', 'subst') ('pojazd', 'subst')
329.33375500980765 --- ('zmierzać', 'pact') ('do', 'prep')
328.84726832807064 --- ('podział', 'subst') ('spółdzielnia', 'subst')
327.9492746209726 --- ('zarzut', 'subst') ('przedawnienie', 'subst')
327.6339640226215 --- ('listopad', 'subst') ('rok', 'subst')
327.41719142440706 --- ('czynność', 'subst') ('prawny', 'adj')
325.61456298828125 --- ('d', 'brev') ('c', 'brev')
325.58133855927736 --- ('być', 'inf') ('uznać', 'ppas')
325.0670430427417 --- ('wysokość', 'subst') ('złoty', 'brev')
324.73519094474614 --- ('uchylić', 'ger') ('zaskarżyć', 'ppas')
323.6904542995617 --- ('akt', 'subst') ('i', 'adj')
323.6626504221931 --- ('treść', 'subst') ('artykuł', 'brev')
322.6390757812187 --- ('za', 'prep') ('korzystać', 'ger')
322.6178924413398 --- ('dobry', 'adj') ('wiara', 'subst')
322.44911235850304 --- ('wspólnota', 'subst') ('mieszkaniowy', 'adj')
322.43943417444825 --- ('ponieść', 'ppas') ('przez', 'prep')
321.61707834899426 --- ('część', 'subst') ('oryginalny', 'adj')
321.56456485390663 --- ('czas', 'subst') ('praca', 'subst')
321.1964925369248 --- ('rok', 'brev') ('iii', 'adj')
321.10077870823443 --- ('wyrok', 'subst') ('z', 'prep')
319.62383794691414 --- ('drugi', 'adj') ('instancja', 'subst')
319.37834720965475 --- ('sprawa', 'subst') ('materiał', 'subst')
318.5299829132855 --- ('a', 'brev') ('s', 'brev')
317.6028219955042 --- ('musieć', 'fin') ('być', 'inf')
317.4369557313621 --- ('o', 'prep') ('dzieło', 'subst')
316.788430981338 --- ('ciężar', 'subst') ('dowód', 'subst')
316.67913661152124 --- ('w', 'prep') ('szczególny', 'adj')
315.6478527309373 --- ('uruchomić', 'ger') ('silnik', 'subst')
315.3841826962307 --- ('csk', 'subst') ('lex', 'subst')
315.09014807548374 --- ('a', 'brev') ('g', 'brev')
314.45716378465295 --- ('związek', 'subst') ('przyczynowy', 'adj')
314.22223871108145 --- ('akta', 'subst') ('sprawa', 'subst')
